file_name,language_code,language,speaker_id,gender,age_raw,age_years,age_months,question_number,response_type_code,response_type,bpm,extension
En002F230002A082.ogg,En,English,2,F,2300,23,0,2,A,Answering,82,ogg
En002F230003A083.ogg,En,English,2,F,2300,23,0,3,A,Answering,83,ogg
En002F230004A077.ogg,En,English,2,F,2300,23,0,4,A,Answering,77,ogg
En002F230005A074.ogg,En,English,2,F,2300,23,0,5,A,Answering,74,ogg
En002F230006A077.ogg,En,English,2,F,2300,23,0,6,A,Answering,77,ogg
En002F230007A081.ogg,En,English,2,F,2300,23,0,7,A,Answering,81,ogg
En002F230008A084.ogg,En,English,2,F,2300,23,0,8,A,Answering,84,ogg
En002F230009A076.ogg,En,English,2,F,2300,23,0,9,A,Answering,76,ogg
En002F230010A071.ogg,En,English,2,F,2300,23,0,10,A,Answering,71,ogg
En002F230011A070.ogg,En,English,2,F,2300,23,0,11,A,Answering,70,ogg
En002F230012A071.ogg,En,English,2,F,2300,23,0,12,A,Answering,71,ogg
En002F230013A072.ogg,En,English,2,F,2300,23,0,13,A,Answering,72,ogg
En002F230014A077.ogg,En,English,2,F,2300,23,0,14,A,Answering,77,ogg
En002F230015A081.ogg,En,English,2,F,2300,23,0,15,A,Answering,81,ogg
En002F230016A075.ogg,En,English,2,F,2300,23,0,16,A,Answering,75,ogg
En002F230017R084.ogg,En,English,2,F,2300,23,0,17,R,Reading,84,ogg
En002F230018R085.ogg,En,English,2,F,2300,23,0,18,R,Reading,85,ogg
En002F230019R082.ogg,En,English,2,F,2300,23,0,19,R,Reading,82,ogg
En002F230020R081.ogg,En,English,2,F,2300,23,0,20,R,Reading,81,ogg
En002F230021R078.ogg,En,English,2,F,2300,23,0,21,R,Reading,78,ogg
En002F230022R079.ogg,En,English,2,F,2300,23,0,22,R,Reading,79,ogg
En002F230023R078.ogg,En,English,2,F,2300,23,0,23,R,Reading,78,ogg
En002F230024R083.ogg,En,English,2,F,2300,23,0,24,R,Reading,83,ogg
En002F230025R084.ogg,En,English,2,F,2300,23,0,25,R,Reading,84,ogg
En002F230026R083.ogg,En,English,2,F,2300,23,0,26,R,Reading,83,ogg
En002F230027R091.ogg,En,English,2,F,2300,23,0,27,R,Reading,91,ogg
En002F230028R071.ogg,En,English,2,F,2300,23,0,28,R,Reading,71,ogg
En002F230029R071.ogg,En,English,2,F,2300,23,0,29,R,Reading,71,ogg
En002F230030R074.ogg,En,English,2,F,2300,23,0,30,R,Reading,74,ogg
En002F230031A081.ogg,En,English,2,F,2300,23,0,31,A,Answering,81,ogg
En002F230032A075.ogg,En,English,2,F,2300,23,0,32,A,Answering,75,ogg
En002F230033A075.ogg,En,English,2,F,2300,23,0,33,A,Answering,75,ogg
En002F230034A080.ogg,En,English,2,F,2300,23,0,34,A,Answering,80,ogg
En002F230035A085.ogg,En,English,2,F,2300,23,0,35,A,Answering,85,ogg
En002F230036A082.ogg,En,English,2,F,2300,23,0,36,A,Answering,82,ogg
En002F230037A120.ogg,En,English,2,F,2300,23,0,37,A,Answering,120,ogg
En002F230038A121.ogg,En,English,2,F,2300,23,0,38,A,Answering,121,ogg
En002F230039A115.ogg,En,English,2,F,2300,23,0,39,A,Answering,115,ogg
En002F230040A112.ogg,En,English,2,F,2300,23,0,40,A,Answering,112,ogg
En002F230041A103.ogg,En,English,2,F,2300,23,0,41,A,Answering,103,ogg
En002F230042A101.ogg,En,English,2,F,2300,23,0,42,A,Answering,101,ogg
En002F230043A098.ogg,En,English,2,F,2300,23,0,43,A,Answering,98,ogg
En002F230044A103.ogg,En,English,2,F,2300,23,0,44,A,Answering,103,ogg
En002F230045A088.ogg,En,English,2,F,2300,23,0,45,A,Answering,88,ogg
En002F230046V083.ogg,En,English,2,F,2300,23,0,46,V,AfterVideo,83,ogg
En002F230047V077.ogg,En,English,2,F,2300,23,0,47,V,AfterVideo,77,ogg
En002F230048V077.ogg,En,English,2,F,2300,23,0,48,V,AfterVideo,77,ogg
En002F230052V082.ogg,En,English,2,F,2300,23,0,52,V,AfterVideo,82,ogg
En002F230053V083.ogg,En,English,2,F,2300,23,0,53,V,AfterVideo,83,ogg
En002F230054V076.ogg,En,English,2,F,2300,23,0,54,V,AfterVideo,76,ogg
En002F230055V092.ogg,En,English,2,F,2300,23,0,55,V,AfterVideo,92,ogg
En002F230056V083.ogg,En,English,2,F,2300,23,0,56,V,AfterVideo,83,ogg
En002F230057V086.ogg,En,English,2,F,2300,23,0,57,V,AfterVideo,86,ogg
En002F230058V081.ogg,En,English,2,F,2300,23,0,58,V,AfterVideo,81,ogg
En002F230059V089.ogg,En,English,2,F,2300,23,0,59,V,AfterVideo,89,ogg
En002F230060V082.ogg,En,English,2,F,2300,23,0,60,V,AfterVideo,82,ogg
En002F230061V092.ogg,En,English,2,F,2300,23,0,61,V,AfterVideo,92,ogg
En002F230062V081.ogg,En,English,2,F,2300,23,0,62,V,AfterVideo,81,ogg
En002F230063V078.ogg,En,English,2,F,2300,23,0,63,V,AfterVideo,78,ogg
En002F230064V079.ogg,En,English,2,F,2300,23,0,64,V,AfterVideo,79,ogg
En002F230065V084.ogg,En,English,2,F,2300,23,0,65,V,AfterVideo,84,ogg
En002F230066V081.ogg,En,English,2,F,2300,23,0,66,V,AfterVideo,81,ogg
En002F230067V082.ogg,En,English,2,F,2300,23,0,67,V,AfterVideo,82,ogg
En003F221101A123.ogg,En,English,3,F,2211,22,11,1,A,Answering,123,ogg
En003F221102A112.ogg,En,English,3,F,2211,22,11,2,A,Answering,112,ogg
En003F221103A106.ogg,En,English,3,F,2211,22,11,3,A,Answering,106,ogg
En003F221104A110.ogg,En,English,3,F,2211,22,11,4,A,Answering,110,ogg
En003F221105A111.ogg,En,English,3,F,2211,22,11,5,A,Answering,111,ogg
En003F221106A116.ogg,En,English,3,F,2211,22,11,6,A,Answering,116,ogg
En003F221107A102.ogg,En,English,3,F,2211,22,11,7,A,Answering,102,ogg
En003F221108A111.ogg,En,English,3,F,2211,22,11,8,A,Answering,111,ogg
En003F221109A103.ogg,En,English,3,F,2211,22,11,9,A,Answering,103,ogg
En003F221110A105.ogg,En,English,3,F,2211,22,11,10,A,Answering,105,ogg
En003F221111A107.ogg,En,English,3,F,2211,22,11,11,A,Answering,107,ogg
En003F221112A107.ogg,En,English,3,F,2211,22,11,12,A,Answering,107,ogg
En003F221113A109.ogg,En,English,3,F,2211,22,11,13,A,Answering,109,ogg
En003F221114A106.ogg,En,English,3,F,2211,22,11,14,A,Answering,106,ogg
En003F221115A100.ogg,En,English,3,F,2211,22,11,15,A,Answering,100,ogg
En003F221116A106.ogg,En,English,3,F,2211,22,11,16,A,Answering,106,ogg
En003F221117R113.ogg,En,English,3,F,2211,22,11,17,R,Reading,113,ogg
En003F221118R106.ogg,En,English,3,F,2211,22,11,18,R,Reading,106,ogg
En003F221119R099.ogg,En,English,3,F,2211,22,11,19,R,Reading,99,ogg
En003F221120R102.ogg,En,English,3,F,2211,22,11,20,R,Reading,102,ogg
En003F221121R103.ogg,En,English,3,F,2211,22,11,21,R,Reading,103,ogg
En003F221122R101.ogg,En,English,3,F,2211,22,11,22,R,Reading,101,ogg
En003F221123R103.ogg,En,English,3,F,2211,22,11,23,R,Reading,103,ogg
En003F221124R107.ogg,En,English,3,F,2211,22,11,24,R,Reading,107,ogg
En003F221125R111.ogg,En,English,3,F,2211,22,11,25,R,Reading,111,ogg
En003F221127R104.ogg,En,English,3,F,2211,22,11,27,R,Reading,104,ogg
En003F221128R107.ogg,En,English,3,F,2211,22,11,28,R,Reading,107,ogg
En003F221129R107.ogg,En,English,3,F,2211,22,11,29,R,Reading,107,ogg
En003F221130R107.ogg,En,English,3,F,2211,22,11,30,R,Reading,107,ogg
En003F221131A111.ogg,En,English,3,F,2211,22,11,31,A,Answering,111,ogg
En003F221132A099.ogg,En,English,3,F,2211,22,11,32,A,Answering,99,ogg
En003F221133A113.ogg,En,English,3,F,2211,22,11,33,A,Answering,113,ogg
En003F221134A110.ogg,En,English,3,F,2211,22,11,34,A,Answering,110,ogg
En003F221135A100.ogg,En,English,3,F,2211,22,11,35,A,Answering,100,ogg
En003F221136A108.ogg,En,English,3,F,2211,22,11,36,A,Answering,108,ogg
En003F221137A169.ogg,En,English,3,F,2211,22,11,37,A,Answering,169,ogg
En003F221138A167.ogg,En,English,3,F,2211,22,11,38,A,Answering,167,ogg
En003F221139A160.ogg,En,English,3,F,2211,22,11,39,A,Answering,160,ogg
En003F221140R154.ogg,En,English,3,F,2211,22,11,40,R,Reading,154,ogg
En003F221141R150.ogg,En,English,3,F,2211,22,11,41,R,Reading,150,ogg
En003F221142R148.ogg,En,English,3,F,2211,22,11,42,R,Reading,148,ogg
En003F221143A147.ogg,En,English,3,F,2211,22,11,43,A,Answering,147,ogg
En003F221144A143.ogg,En,English,3,F,2211,22,11,44,A,Answering,143,ogg
En003F221145A141.ogg,En,English,3,F,2211,22,11,45,A,Answering,141,ogg
En003F221146V122.ogg,En,English,3,F,2211,22,11,46,V,AfterVideo,122,ogg
En003F221147V129.ogg,En,English,3,F,2211,22,11,47,V,AfterVideo,129,ogg
En003F221148V107.ogg,En,English,3,F,2211,22,11,48,V,AfterVideo,107,ogg
En003F221152V112.ogg,En,English,3,F,2211,22,11,52,V,AfterVideo,112,ogg
En003F221153V120.ogg,En,English,3,F,2211,22,11,53,V,AfterVideo,120,ogg
En003F221154V121.ogg,En,English,3,F,2211,22,11,54,V,AfterVideo,121,ogg
En003F221155V112.ogg,En,English,3,F,2211,22,11,55,V,AfterVideo,112,ogg
En003F221156V117.ogg,En,English,3,F,2211,22,11,56,V,AfterVideo,117,ogg
En003F221157V113.ogg,En,English,3,F,2211,22,11,57,V,AfterVideo,113,ogg
En003F221158V123.ogg,En,English,3,F,2211,22,11,58,V,AfterVideo,123,ogg
En003F221159V112.ogg,En,English,3,F,2211,22,11,59,V,AfterVideo,112,ogg
En003F221160V108.ogg,En,English,3,F,2211,22,11,60,V,AfterVideo,108,ogg
En003F221161V114.ogg,En,English,3,F,2211,22,11,61,V,AfterVideo,114,ogg
En003F221162V113.ogg,En,English,3,F,2211,22,11,62,V,AfterVideo,113,ogg
En003F221163V106.ogg,En,English,3,F,2211,22,11,63,V,AfterVideo,106,ogg
En003F221164V101.ogg,En,English,3,F,2211,22,11,64,V,AfterVideo,101,ogg
En003F221165V106.ogg,En,English,3,F,2211,22,11,65,V,AfterVideo,106,ogg
En003F221166V115.ogg,En,English,3,F,2211,22,11,66,V,AfterVideo,115,ogg
En003F221167V121.ogg,En,English,3,F,2211,22,11,67,V,AfterVideo,121,ogg
En004M270101A080.ogg,En,English,4,M,2701,27,1,1,A,Answering,80,ogg
En004M270102A088.ogg,En,English,4,M,2701,27,1,2,A,Answering,88,ogg
En004M270103A084.ogg,En,English,4,M,2701,27,1,3,A,Answering,84,ogg
En004M270104A090.ogg,En,English,4,M,2701,27,1,4,A,Answering,90,ogg
En004M270105A081.ogg,En,English,4,M,2701,27,1,5,A,Answering,81,ogg
En004M270106A090.ogg,En,English,4,M,2701,27,1,6,A,Answering,90,ogg
En004M270107A092.ogg,En,English,4,M,2701,27,1,7,A,Answering,92,ogg
En004M270108A091.ogg,En,English,4,M,2701,27,1,8,A,Answering,91,ogg
En004M270109A088.ogg,En,English,4,M,2701,27,1,9,A,Answering,88,ogg
En004M270110A091.ogg,En,English,4,M,2701,27,1,10,A,Answering,91,ogg
En004M270111A086.ogg,En,English,4,M,2701,27,1,11,A,Answering,86,ogg
En004M270112A082.ogg,En,English,4,M,2701,27,1,12,A,Answering,82,ogg
En004M270113A093.ogg,En,English,4,M,2701,27,1,13,A,Answering,93,ogg
En004M270114A092.ogg,En,English,4,M,2701,27,1,14,A,Answering,92,ogg
En004M270115A085.ogg,En,English,4,M,2701,27,1,15,A,Answering,85,ogg
En004M270116A087.ogg,En,English,4,M,2701,27,1,16,A,Answering,87,ogg
En004M270117R092.ogg,En,English,4,M,2701,27,1,17,R,Reading,92,ogg
En004M270118R089.ogg,En,English,4,M,2701,27,1,18,R,Reading,89,ogg
En004M270119R085.ogg,En,English,4,M,2701,27,1,19,R,Reading,85,ogg
En004M270120R087.ogg,En,English,4,M,2701,27,1,20,R,Reading,87,ogg
En004M270121R084.ogg,En,English,4,M,2701,27,1,21,R,Reading,84,ogg
En004M270122R089.ogg,En,English,4,M,2701,27,1,22,R,Reading,89,ogg
En004M270123R086.ogg,En,English,4,M,2701,27,1,23,R,Reading,86,ogg
En004M270124R091.ogg,En,English,4,M,2701,27,1,24,R,Reading,91,ogg
En004M270125R086.ogg,En,English,4,M,2701,27,1,25,R,Reading,86,ogg
En004M270126R084.ogg,En,English,4,M,2701,27,1,26,R,Reading,84,ogg
En004M270128R084.ogg,En,English,4,M,2701,27,1,28,R,Reading,84,ogg
En004M270129R083.ogg,En,English,4,M,2701,27,1,29,R,Reading,83,ogg
En004M270130R083.ogg,En,English,4,M,2701,27,1,30,R,Reading,83,ogg
En004M270131A091.ogg,En,English,4,M,2701,27,1,31,A,Answering,91,ogg
En004M270132A094.ogg,En,English,4,M,2701,27,1,32,A,Answering,94,ogg
En004M270133A098.ogg,En,English,4,M,2701,27,1,33,A,Answering,98,ogg
En004M270134A092.ogg,En,English,4,M,2701,27,1,34,A,Answering,92,ogg
En004M270135A090.ogg,En,English,4,M,2701,27,1,35,A,Answering,90,ogg
En004M270136A105.ogg,En,English,4,M,2701,27,1,36,A,Answering,105,ogg
En004M270137A153.ogg,En,English,4,M,2701,27,1,37,A,Answering,153,ogg
En004M270138A147.ogg,En,English,4,M,2701,27,1,38,A,Answering,147,ogg
En004M270139A144.ogg,En,English,4,M,2701,27,1,39,A,Answering,144,ogg
En004M270140R141.ogg,En,English,4,M,2701,27,1,40,R,Reading,141,ogg
En004M270141R140.ogg,En,English,4,M,2701,27,1,41,R,Reading,140,ogg
En004M270142R137.ogg,En,English,4,M,2701,27,1,42,R,Reading,137,ogg
En004M270143A140.ogg,En,English,4,M,2701,27,1,43,A,Answering,140,ogg
En004M270144A141.ogg,En,English,4,M,2701,27,1,44,A,Answering,141,ogg
En004M270145A137.ogg,En,English,4,M,2701,27,1,45,A,Answering,137,ogg
En004M270146V120.ogg,En,English,4,M,2701,27,1,46,V,AfterVideo,120,ogg
En004M270147V118.ogg,En,English,4,M,2701,27,1,47,V,AfterVideo,118,ogg
En004M270148V112.ogg,En,English,4,M,2701,27,1,48,V,AfterVideo,112,ogg
En004M270149V126.ogg,En,English,4,M,2701,27,1,49,V,AfterVideo,126,ogg
En004M270150V121.ogg,En,English,4,M,2701,27,1,50,V,AfterVideo,121,ogg
En004M270151V116.ogg,En,English,4,M,2701,27,1,51,V,AfterVideo,116,ogg
En004M270152V110.ogg,En,English,4,M,2701,27,1,52,V,AfterVideo,110,ogg
En004M270153V105.ogg,En,English,4,M,2701,27,1,53,V,AfterVideo,105,ogg
En004M270154V105.ogg,En,English,4,M,2701,27,1,54,V,AfterVideo,105,ogg
En004M270155V118.ogg,En,English,4,M,2701,27,1,55,V,AfterVideo,118,ogg
En004M270156V113.ogg,En,English,4,M,2701,27,1,56,V,AfterVideo,113,ogg
En004M270157V114.ogg,En,English,4,M,2701,27,1,57,V,AfterVideo,114,ogg
En004M270158V110.ogg,En,English,4,M,2701,27,1,58,V,AfterVideo,110,ogg
En004M270159V111.ogg,En,English,4,M,2701,27,1,59,V,AfterVideo,111,ogg
En004M270160V106.ogg,En,English,4,M,2701,27,1,60,V,AfterVideo,106,ogg
En004M270161V105.ogg,En,English,4,M,2701,27,1,61,V,AfterVideo,105,ogg
En004M270162V101.ogg,En,English,4,M,2701,27,1,62,V,AfterVideo,101,ogg
En004M270163V097.ogg,En,English,4,M,2701,27,1,63,V,AfterVideo,97,ogg
En004M270164V090.ogg,En,English,4,M,2701,27,1,64,V,AfterVideo,90,ogg
En004M270165V085.ogg,En,English,4,M,2701,27,1,65,V,AfterVideo,85,ogg
En004M270166V086.ogg,En,English,4,M,2701,27,1,66,V,AfterVideo,86,ogg
En004M270167V091.ogg,En,English,4,M,2701,27,1,67,V,AfterVideo,91,ogg
En005F110601A097.ogg,En,English,5,F,1106,11,6,1,A,Answering,97,ogg
En005F110602A098.ogg,En,English,5,F,1106,11,6,2,A,Answering,98,ogg
En005F110603A097.ogg,En,English,5,F,1106,11,6,3,A,Answering,97,ogg
En005F110604A092.ogg,En,English,5,F,1106,11,6,4,A,Answering,92,ogg
En005F110605A095.ogg,En,English,5,F,1106,11,6,5,A,Answering,95,ogg
En005F110606A092.ogg,En,English,5,F,1106,11,6,6,A,Answering,92,ogg
En005F110607A088.ogg,En,English,5,F,1106,11,6,7,A,Answering,88,ogg
En005F110608A089.ogg,En,English,5,F,1106,11,6,8,A,Answering,89,ogg
En005F110609A084.ogg,En,English,5,F,1106,11,6,9,A,Answering,84,ogg
En005F110610A086.ogg,En,English,5,F,1106,11,6,10,A,Answering,86,ogg
En005F110611A085.ogg,En,English,5,F,1106,11,6,11,A,Answering,85,ogg
En005F110612A084.ogg,En,English,5,F,1106,11,6,12,A,Answering,84,ogg
En005F110613A082.ogg,En,English,5,F,1106,11,6,13,A,Answering,82,ogg
En005F110614A081.ogg,En,English,5,F,1106,11,6,14,A,Answering,81,ogg
En005F110615A087.ogg,En,English,5,F,1106,11,6,15,A,Answering,87,ogg
En005F110616A092.ogg,En,English,5,F,1106,11,6,16,A,Answering,92,ogg
En005F110617R084.ogg,En,English,5,F,1106,11,6,17,R,Reading,84,ogg
En005F110618R091.ogg,En,English,5,F,1106,11,6,18,R,Reading,91,ogg
En005F110619R085.ogg,En,English,5,F,1106,11,6,19,R,Reading,85,ogg
En005F110620R087.ogg,En,English,5,F,1106,11,6,20,R,Reading,87,ogg
En005F110621R088.ogg,En,English,5,F,1106,11,6,21,R,Reading,88,ogg
En005F110622R088.ogg,En,English,5,F,1106,11,6,22,R,Reading,88,ogg
En005F110623R089.ogg,En,English,5,F,1106,11,6,23,R,Reading,89,ogg
En005F110624R093.ogg,En,English,5,F,1106,11,6,24,R,Reading,93,ogg
En005F110625R092.ogg,En,English,5,F,1106,11,6,25,R,Reading,92,ogg
En005F110626R089.ogg,En,English,5,F,1106,11,6,26,R,Reading,89,ogg
En005F110627R082.ogg,En,English,5,F,1106,11,6,27,R,Reading,82,ogg
En005F110628R089.ogg,En,English,5,F,1106,11,6,28,R,Reading,89,ogg
En005F110629R087.ogg,En,English,5,F,1106,11,6,29,R,Reading,87,ogg
En005F110630R088.ogg,En,English,5,F,1106,11,6,30,R,Reading,88,ogg
En005F110631A095.ogg,En,English,5,F,1106,11,6,31,A,Answering,95,ogg
En005F110632A092.ogg,En,English,5,F,1106,11,6,32,A,Answering,92,ogg
En005F110633A089.ogg,En,English,5,F,1106,11,6,33,A,Answering,89,ogg
En005F110634A091.ogg,En,English,5,F,1106,11,6,34,A,Answering,91,ogg
En005F110635A089.ogg,En,English,5,F,1106,11,6,35,A,Answering,89,ogg
En005F110636A088.ogg,En,English,5,F,1106,11,6,36,A,Answering,88,ogg
En005F110637A115.ogg,En,English,5,F,1106,11,6,37,A,Answering,115,ogg
En005F110638A102.ogg,En,English,5,F,1106,11,6,38,A,Answering,102,ogg
En005F110639A098.ogg,En,English,5,F,1106,11,6,39,A,Answering,98,ogg
En005F110640R095.ogg,En,English,5,F,1106,11,6,40,R,Reading,95,ogg
En005F110641R092.ogg,En,English,5,F,1106,11,6,41,R,Reading,92,ogg
En005F110642R088.ogg,En,English,5,F,1106,11,6,42,R,Reading,88,ogg
En005F110643A085.ogg,En,English,5,F,1106,11,6,43,A,Answering,85,ogg
En005F110644A087.ogg,En,English,5,F,1106,11,6,44,A,Answering,87,ogg
En005F110645A084.ogg,En,English,5,F,1106,11,6,45,A,Answering,84,ogg
En005F110646V094.ogg,En,English,5,F,1106,11,6,46,V,AfterVideo,94,ogg
En005F110647V091.ogg,En,English,5,F,1106,11,6,47,V,AfterVideo,91,ogg
En005F110648V103.ogg,En,English,5,F,1106,11,6,48,V,AfterVideo,103,ogg
En005F110652V105.ogg,En,English,5,F,1106,11,6,52,V,AfterVideo,105,ogg
En005F110653V094.ogg,En,English,5,F,1106,11,6,53,V,AfterVideo,94,ogg
En005F110654V098.ogg,En,English,5,F,1106,11,6,54,V,AfterVideo,98,ogg
En005F110655V099.ogg,En,English,5,F,1106,11,6,55,V,AfterVideo,99,ogg
En005F110656V098.ogg,En,English,5,F,1106,11,6,56,V,AfterVideo,98,ogg
En005F110657V094.ogg,En,English,5,F,1106,11,6,57,V,AfterVideo,94,ogg
En005F110658V105.ogg,En,English,5,F,1106,11,6,58,V,AfterVideo,105,ogg
En005F110659V094.ogg,En,English,5,F,1106,11,6,59,V,AfterVideo,94,ogg
En005F110660V094.ogg,En,English,5,F,1106,11,6,60,V,AfterVideo,94,ogg
En005F110661V095.ogg,En,English,5,F,1106,11,6,61,V,AfterVideo,95,ogg
En005F110662V102.ogg,En,English,5,F,1106,11,6,62,V,AfterVideo,102,ogg
En005F110663V093.ogg,En,English,5,F,1106,11,6,63,V,AfterVideo,93,ogg
En005F110664V098.ogg,En,English,5,F,1106,11,6,64,V,AfterVideo,98,ogg
En005F110665V100.ogg,En,English,5,F,1106,11,6,65,V,AfterVideo,100,ogg
En005F110666V103.ogg,En,English,5,F,1106,11,6,66,V,AfterVideo,103,ogg
En005F110667V104.ogg,En,English,5,F,1106,11,6,67,V,AfterVideo,104,ogg
En006M451101A078.ogg,En,English,6,M,4511,45,11,1,A,Answering,78,ogg
En006M451102A077.ogg,En,English,6,M,4511,45,11,2,A,Answering,77,ogg
En006M451103A079.ogg,En,English,6,M,4511,45,11,3,A,Answering,79,ogg
En006M451104A078.ogg,En,English,6,M,4511,45,11,4,A,Answering,78,ogg
En006M451105A077.ogg,En,English,6,M,4511,45,11,5,A,Answering,77,ogg
En006M451106A076.ogg,En,English,6,M,4511,45,11,6,A,Answering,76,ogg
En006M451107A073.ogg,En,English,6,M,4511,45,11,7,A,Answering,73,ogg
En006M451108A074.ogg,En,English,6,M,4511,45,11,8,A,Answering,74,ogg
En006M451109A071.ogg,En,English,6,M,4511,45,11,9,A,Answering,71,ogg
En006M451110A072.ogg,En,English,6,M,4511,45,11,10,A,Answering,72,ogg
